"","R","lhsgrade_pct","nextGPA","probation_year1","totcredits_year1","male","bpl_north_america","english","age_at_entry","campus"
"3121",1.62,1.58562726374038,0.630000114440918,0,5,1,1,1,19,1
"3122",0.35,-2.19722457733622,0.74999988079071,0,4,0,1,0,19,3
"3123",2.34,1.450010175506,2.40000009536743,0,4.5,1,1,1,19,3
"3124",1.9,5.29330482472449,0.799999952316284,0,4.5,1,1,1,19,1
"3125",1.32,0.75377180237638,1.23000001907349,0,4,0,1,1,18,1
"3126",0.74,-1.99243016469021,1.10000002384186,0,3.5,0,1,0,19,3
"3127",2.12,-1.38629436111989,1.53999996185303,0,5.5,1,1,0,18,3
"3128",0.31,-1.450010175506,-1.14999997615814,0,4,1,1,1,19,2
"3129",-0.02,-2.09074109693377,-0.059999942779541,1,4,0,1,1,19,3
"3130",1.51,1.73460105538811,2.21000003814697,0,5,1,0,0,18,1
"3131",0.78,-0.447312218043665,1.5,0,5,0,1,1,19,1
"3132",-0.2,-2.31363492918063,-0.149999976158142,1,5,1,1,1,18,2
"3133",-0.32,-0.75377180237638,1.20000004768372,1,5,0,0,1,19,1
"3134",1.01,-0.0800427076735365,1.5,0,4,0,0,1,19,1
"3135",0.86,-0.0400053346136992,-0.600000023841858,0,3,0,1,1,19,3
"3136",0.64,-1.20831120592453,1.5,0,5,1,1,1,18,1
"3137",1.02,1.09861228866811,0.799999952316284,0,5,0,1,1,19,1
"3138",0.94,2.09074109693377,0.200000047683716,0,4,0,1,0,19,2
"3139",-0.22,-1.26566637333128,0.240000009536743,1,5,1,1,1,19,2
"3140",1.17,-1.15267950993839,0.240000009536743,0,4.5,1,1,1,18,1
"3141",0.12,-0.663294217410264,0.799999952316284,0,5,0,1,1,18,2
"3142",2.23,0.847297860387203,2.33999991416931,0,5,1,1,1,19,3
"3143",1.4,-0.405465108108164,1.14000010490417,0,4,0,1,1,19,1
"3144",0.46,-2.09074109693377,1.10000002384186,0,4,0,1,0,19,3
"3145",1.04,-1.51634748936809,1.07999992370605,0,4,0,1,0,18,2
"3146",1.65,0.241162056816888,2.08999991416931,0,4,0,1,1,19,2
"3147",0.67,-1.26566637333128,0.630000114440918,0,4,0,1,1,19,3
"3148",1.51,0.708185057924486,0.930000066757202,0,4.5,0,1,1,19,3
"3150",1.64,0.447312218043665,1.60999989509583,0,5,0,1,1,19,1
"3151",1.64,-0.663294217410264,0.930000066757202,0,4.5,1,0,0,21,1
"3152",0.76,0.241162056816888,0.529999971389771,0,4.5,1,0,0,20,2
"3153",0.86,0.200670695462151,0.599999904632568,0,4,0,1,0,19,1
"3154",1.74,1.81528996663825,0.799999952316284,0,4,1,1,1,18,2
"3155",0.25,0.75377180237638,0.159999966621399,0,4,0,1,1,17,1
"3156",1.46,0.619039208406224,2.20000004768372,0,5,0,1,0,18,1
"3157",1.75,1.04596855518269,1.35999989509583,0,4.5,1,0,0,18,2
"3158",2.32,1.90095876119305,2.34999990463257,0,5,0,1,1,18,1
"3160",0.75,-1.15267950993839,1.07999992370605,0,4.5,1,1,0,19,2
"3161",1.08,-1.81528996663825,1.69999992847443,0,3.5,1,1,1,19,3
"3162",1.06,-1.26566637333128,1.17000007629395,0,4,0,1,1,18,1
"3163",0.1,-1.65822807660353,0.980000019073486,0,5,1,1,0,18,1
"3164",1.61,0.575364144903562,0.269999980926514,0,5,1,1,1,17,1
"3165",2.21,3.89182029811063,2.38000011444092,0,5,0,1,1,18,1
"3166",1.58,-2.4423470353692,0.74999988079071,0,4,1,1,1,19,3
"3167",0.96,-1.58562726374038,1.17000007629395,0,4.5,0,0,0,19,1
"3168",-0.1,-1.58562726374038,-0.0600000619888306,1,4.5,0,1,1,19,1
"3169",1.18,-2.31363492918063,1.79999995231628,0,4.5,0,1,1,18,2
"3171",1.16,-3.17805383034795,0.899999976158142,0,5,1,1,1,18,1
"3172",2,0.619039208406224,1.4300000667572,0,4,1,1,1,17,2
"3173",0.61,-0.994622575144062,1.77999997138977,0,5,1,1,1,19,1
"3174",2.35,4.59511985013459,2.34999990463257,0,5,0,0,1,17,1
"3175",1.32,0.75377180237638,1.79999995231628,0,5,0,1,0,19,1
"3176",1.51,0.447312218043665,0.660000085830688,0,5,0,1,0,19,1
"3178",-1.36,0.160342650075179,-1.5,1,5,0,0,0,20,1
"3179",0.76,1.38629436111989,1.79999995231628,0,5,0,1,1,19,2
"3180",0.95,-2.4423470353692,0.5,0,4,0,0,0,19,1
"3181",0.52,0.895384047054841,2.10999989509583,0,5,0,0,0,19,1
"3183",0.98,1.15267950993839,1.5900000333786,0,5,0,1,1,19,1
"3184",0.49,-0.160342650075179,2.20000004768372,0,5,0,1,1,19,1
"3185",1.89,1.73460105538811,1.84999990463257,0,5,0,1,1,19,1
"3186",1.07,0.120144311842063,0.859999895095825,0,4.5,0,1,1,19,1
"3187",0.07,-0.241162056816888,0.110000014305115,0,5,0,0,0,18,1
"3188",1.5,1.58562726374038,1.70000004768372,0,4,0,0,0,19,1
"3189",1.36,-0.200670695462151,1.29999995231628,0,5,0,1,1,19,1
"3190",0.28,-0.75377180237638,-0.120000004768372,0,4.5,0,1,0,18,1
"3191",1.37,1.3249254147436,2.17000007629395,0,5,1,1,1,18,1
"3192",1.38,1.51634748936809,0.940000057220459,0,5,1,1,1,17,1
"3193",1.5,-0.0800427076735365,1.20000004768372,0,4,0,1,0,20,1
"3194",1.43,-0.447312218043665,1.5,0,4,1,1,1,19,2
"3195",0.1,-2.94443897916644,0.730000019073486,0,3,1,1,1,19,3
"3196",0.19,-0.994622575144062,1.39999997615814,0,4,0,1,0,19,3
"3197",0.4,-1.90095876119305,-1.60000002384186,0,4,0,1,1,18,1
"3198",1.9,0.994622575144062,1.69000005722046,0,5,0,1,1,19,1
"3199",1.36,1.99243016469021,1.05000007152557,0,5,1,1,1,19,1
"3200",1.64,0.847297860387203,1.46000003814697,0,5,1,1,1,19,1
"3201",1.65,-2.19722457733622,1.23999989032745,0,4,0,1,1,19,3
"3202",2.5,5.29330482472449,2.41000008583069,0,5,0,1,1,19,1
"3203",1.61,-0.447312218043665,1.27999997138977,0,5,0,1,1,18,1
"3204",1.98,2.75153531304195,1.49000000953674,0,5,0,1,1,18,1
"3205",1,-1.26566637333128,0.5,0,4,0,1,0,18,2
"3206",1.44,0.619039208406224,1.75,0,5,0,1,1,18,1
"3207",1.78,0.994622575144062,2.5,0,4,1,0,1,19,1
"3208",1.04,0.575364144903562,0.129999995231628,0,5,0,1,0,19,1
"3209",1,-0.944461608840851,1.35000002384186,0,5,0,1,1,18,1
"3210",1.55,0.120144311842063,-0.600000023841858,0,5,1,1,1,20,3
"3212",1.7,1.58562726374038,2.5,0,4.5,0,1,0,19,1
"3213",1.15,1.26566637333128,1.79999995231628,0,4.5,0,1,0,17,1
"3214",1.67,0.75377180237638,1.39999997615814,0,4,1,0,0,20,1
"3215",2.33,1.65822807660353,1.94000005722046,0,5,0,1,1,19,1
"3216",1.26,1.65822807660353,1.35999989509583,0,5,0,1,0,19,1
"3217",2.01,2.09074109693377,1.69999992847443,0,5,0,1,1,18,1
"3218",2.2,4.59511985013459,2.38000011444092,0,5,0,1,1,19,1
"3219",2.31,2.31363492918063,2.40000009536743,0,5,0,1,1,19,3
"3221",0.03,1.38629436111989,0.740000009536743,0,5,0,1,1,17,1
"3222",1.68,1.04596855518269,1.8199999332428,0,4,1,1,0,19,1
"3223",1.08,-1.450010175506,1.97000002861023,0,4,0,1,1,21,2
"3224",-0.36,-4.59511985013459,0.799999952316284,1,4.5,0,0,0,19,1
"3225",0.09,-2.4423470353692,0.5,0,4,0,1,1,19,2
"3226",1.1,0.120144311842063,0.5,0,4,1,1,1,18,1
"3227",1.2,-0.0800427076735365,-1.60000002384186,0,4,0,1,1,18,3
"3228",0.39,-3.17805383034795,0.519999861717224,0,4.5,1,1,0,18,3
"3229",1.44,-1.58562726374038,1.94000005722046,0,4,0,0,0,20,1
"3230",-0.07,-1.65822807660353,0.570000061988831,0,3.5,0,1,1,19,3
"3231",1.44,0.619039208406224,1.66000008583069,0,5,0,1,1,18,1
"3232",1.96,0.241162056816888,2.13000011444092,0,5,0,1,1,19,2
"3233",1.97,1.51634748936809,1.49999988079071,0,5,0,1,1,19,3
"3234",0.96,-1.20831120592453,0.5,0,4.5,0,1,1,19,1
"3235",1.78,1.58562726374038,1.60999989509583,0,4,0,0,0,20,1
"3236",1.95,1.15267950993839,2.20000004768372,0,4,1,1,1,18,1
"3237",0.9,-0.322773392263051,1.39999997615814,0,5,0,1,1,18,3
"3238",0.68,-1.3249254147436,1.14999997615814,0,5,0,1,1,19,1
"3239",0.85,-1.65822807660353,1.39999997615814,0,4,0,0,0,19,3
"3240",1.84,0,1.16000008583069,0,5,0,1,1,19,1
"3241",0.96,-2.75153531304195,0.0399999618530273,0,5,1,1,1,20,1
"3242",1.24,1.450010175506,2.29999995231628,0,5,0,1,1,19,1
"3243",0.6,2.44234703536921,0.409999966621399,0,5,1,1,0,18,3
"3244",1.7,1.26566637333128,1.47000002861023,0,5,0,1,1,18,1
"3245",1.18,-0.944461608840851,1.57999992370605,0,5,0,1,1,19,1
"3246",1.96,2.09074109693377,1.14000010490417,0,4.5,0,1,1,18,2
"3247",0.82,0,1.20000004768372,0,4,0,0,0,18,1
"3248",0.78,0.663294217410264,2.5,0,4,0,1,1,17,2
"3249",2.08,2.44234703536921,2.20000004768372,0,4,0,0,0,18,1
"3250",-0.92,-2.4423470353692,0.110000014305115,1,5,1,1,1,18,2
"3251",0.77,-0.160342650075179,1.35999989509583,0,4,0,1,1,20,2
"3253",0.96,-1.04596855518269,2.02999997138977,0,6,0,1,1,19,2
"3254",1.39,0.447312218043665,1.79999995231628,0,5,0,1,1,18,1
"3255",-0.97,-3.47609868983527,0.199999928474426,1,4,0,1,1,19,2
"3256",0.51,0.200670695462151,0.759999990463257,0,5,0,1,1,19,1
"3257",1.9,0.619039208406224,2.5,0,4,0,1,0,19,1
"3258",1.58,-0.847297860387204,1.28999996185303,0,4.5,0,1,0,19,1
"3259",1.04,-0.241162056816888,0.0499999523162842,0,3.5,1,1,1,19,3
"3260",0.68,-0.200670695462151,1.5,0,5,0,1,1,19,1
"3262",0.78,-0.363965377201412,2.1800000667572,0,4.5,1,1,1,19,1
"3263",1.25,-0.708185057924486,1.75999999046326,0,5,1,1,1,19,1
"3264",2.4,2.19722457733622,2.20000004768372,0,4.5,0,1,1,19,2
"3265",0.98,1.90095876119305,1.5699999332428,0,4.5,0,1,1,19,1
"3266",1.81,0.663294217410264,1.5,0,4.5,1,1,1,18,1
"3267",2.18,3.47609868983527,1.52999997138977,0,5,1,1,1,19,1
"3268",2.16,4.59511985013459,2.41000008583069,0,5,0,1,1,19,1
"3269",1.88,2.94443897916644,1.75999999046326,0,5,0,1,1,18,1
"3270",-0.32,-1.99243016469021,-0.600000023841858,1,5,0,1,0,19,3
"3271",0.6,-2.94443897916644,0.220000028610229,0,4,0,1,1,19,1
"3273",1.68,-0.281851152140988,0.799999952316284,0,4,0,0,0,19,1
"3275",1.12,-1.38629436111989,1.24000000953674,0,5,0,1,1,19,1
"3276",1.7,2.94443897916644,1.24000000953674,0,5,1,1,1,18,1
"3277",1.45,0.200670695462151,1.40000009536743,0,4.5,0,1,1,19,1
"3278",0.46,-2.19722457733622,1.10000002384186,0,3.5,1,1,1,18,3
"3279",0.11,-1.58562726374038,0.970000028610229,0,4,1,1,1,20,3
"3280",1.88,1.04596855518269,1.20000004768372,0,4,0,1,0,18,1
"3284",1.36,-0.241162056816888,0.980000019073486,0,4.5,1,1,1,18,2
"3285",1.88,2.44234703536921,1.10000002384186,0,5,0,1,0,18,3
"3286",2.44,1.90095876119305,2.5,0,5,1,1,1,18,1
"3287",2.21,3.17805383034794,2.21000003814697,0,5,1,0,0,19,1
"3288",-0.07,0.532216813747308,1.20000004768372,1,5,1,1,0,20,1
"3289",0.46,-0.322773392263051,1.76999998092651,0,4.5,1,0,0,17,1
"3291",-0.2,-1.65822807660353,-0.0299999713897705,1,4,1,1,1,19,2
"3292",1.46,-3.17805383034795,1.47000002861023,0,4,1,0,0,18,2
"3293",1.21,1.90095876119305,1.17999994754791,0,4,0,1,1,20,1
"3294",0.89,0.847297860387203,0.220000028610229,0,5,1,1,0,19,1
"3295",0.16,-0.0400053346136992,-0.5,0,4.5,0,1,1,19,1
"3296",0.5,0,0.699999928474426,0,5,0,1,0,18,1
"3297",1.4,1.26566637333128,1.70999991893768,0,4,0,1,1,18,2
"3298",1.53,0.200670695462151,1.74999988079071,0,4,1,0,1,18,3
"3299",1.97,3.17805383034794,2.1800000667572,0,5,0,1,1,18,1
"3300",2,0.847297860387203,2.04999995231628,0,5,0,1,0,19,1
"3301",1.33,0,2.20000004768372,0,4.5,0,0,0,19,1
"3302",1.19,-0.619039208406224,2.20000004768372,0,4,1,0,0,21,2
"3303",1.57,1.15267950993839,1.37999999523163,0,4.5,0,1,0,18,1
"3304",0.78,-2.31363492918063,0.859999895095825,0,5,1,1,1,19,3
"3305",0.53,-1.20831120592453,0.529999971389771,0,5,1,1,1,19,1
"3306",0.68,-1.09861228866811,0.930000066757202,0,3.5,1,1,0,19,3
"3307",0.97,-0.200670695462151,1.39999997615814,0,5,0,1,1,19,3
"3308",0.86,-0.160342650075179,1.01999998092651,0,5,1,1,0,18,1
"3309",0.9,0.944461608840851,0.419999957084656,0,5,1,1,1,18,1
"3310",1.25,-0.708185057924486,1.1800000667572,0,4,1,1,1,19,2
"3313",0.53,0.619039208406224,-0.200000047683716,0,4,1,1,1,19,1
"3314",0.15,-1.81528996663825,0.799999952316284,0,4,0,1,0,17,2
"3315",0.05,0.160342650075179,1.57999992370605,0,5,0,1,1,18,1
"3317",-0.49,-1.450010175506,-1.5,1,4,1,1,0,19,1
"3318",0.51,-0.944461608840851,1,0,5,1,1,1,19,2
"3319",1.28,-0.619039208406224,0.789999961853027,0,4.5,0,1,1,18,3
"3320",2.14,2.09074109693377,2.34999990463257,0,4,0,1,1,17,1
"3321",0.58,0.619039208406224,0.599999904632568,0,5,1,1,1,19,1
"3322",1.41,2.75153531304195,1.65000009536743,0,5,1,1,1,19,1
"3323",-1,-3.47609868983527,-0.930000007152557,1,4.5,0,1,1,19,3
"3324",0.25,-0.944461608840851,0.810000061988831,0,4,0,1,1,19,3
"3325",-0.7,-0.532216813747308,1.29999995231628,1,5,0,1,0,17,1
"3327",1.06,-1.90095876119305,1.40000009536743,0,4,0,1,1,21,2
"3328",0.85,-0.532216813747308,-0.200000047683716,0,4,0,1,1,18,1
"3329",0.58,0.241162056816888,-1.20000004768372,0,4,0,1,1,19,1
"3331",0.01,-0.363965377201412,0.589999923706055,0,4.5,0,0,1,19,2
"3332",0.38,-1.450010175506,1.0699999332428,0,5,1,1,1,19,1
"3333",0.13,-0.663294217410264,-0.460000038146973,0,4,0,1,1,18,1
"3334",0.76,0.895384047054841,1.17000007629395,0,5,1,1,1,18,1
"3335",0.2,-0.281851152140988,-1.60000002384186,0,4.5,1,1,1,19,3
"3336",-0.66,0.800119300112113,-1.60000002384186,1,5,1,1,1,19,1
"3337",1.1,-0.75377180237638,0.900000095367432,0,5,0,1,0,18,1
"3339",-0.24,-0.281851152140988,0.210000038146973,1,4,0,1,1,18,1
"3340",2.3,4.59511985013459,2.38000011444092,0,5,0,1,1,18,1
"3342",2.18,3.47609868983527,2.21000003814697,0,5,0,0,1,18,1
"3343",-0.02,1.09861228866811,0.670000076293945,1,4,0,0,0,19,1
"3344",0.98,-1.90095876119305,1.04999995231628,0,4,0,1,1,18,3
"3345",-0.22,-0.708185057924486,-0.540000081062317,1,5,0,1,0,19,3
"3346",0.44,-0.75377180237638,0,0,5,0,1,1,19,3
"3347",0.33,-1.3249254147436,0.590000033378601,0,4,0,1,1,19,1
"3348",-0.22,-1.81528996663825,1.63000011444092,1,4,0,0,1,19,3
"3349",0.21,-0.847297860387204,0.5,0,4.5,1,0,0,19,1
"3350",1.15,-0.281851152140988,1.23000001907349,0,4,1,1,1,19,2
"3351",0.35,-1.81528996663825,0.209999918937683,0,4,1,1,0,19,3
"3352",1.94,1.73460105538811,1.54999995231628,0,4.5,1,1,0,18,1
"3353",1.98,0.0800427076735366,2.40000009536743,0,5,1,1,1,19,3
"3354",2.5,5.29330482472449,2.5,0,5,1,1,1,18,1
"3356",0.53,-0.0800427076735365,0.370000004768372,0,4,0,1,1,17,3
"3357",1.18,-0.405465108108164,1.10000002384186,0,4,1,1,0,17,3
"3358",-0.25,-2.31363492918063,0.670000076293945,1,4,0,1,0,19,3
"3359",0.71,-0.0800427076735365,1.20000004768372,0,4,0,1,1,19,2
"3360",2.05,2.09074109693377,1.20000004768372,0,5,1,1,1,19,2
"3361",0.75,-0.281851152140988,1.07999992370605,0,5,1,1,1,19,1
"3362",1.08,-1.09861228866811,1.79999995231628,0,4,0,1,0,19,1
"3363",0.83,0.0800427076735366,1.4300000667572,0,4,0,0,0,19,1
"3364",2.01,1.09861228866811,1.36999988555908,0,4,0,1,1,18,3
"3365",0.76,-2.31363492918063,0.379999995231628,0,5,0,1,1,19,2
"3366",2.03,1.3249254147436,2.27999997138977,0,4,1,1,0,19,2
"3367",0.88,-0.800119300112113,0.939999938011169,0,4,0,1,1,18,1
"3368",0.37,-0.619039208406224,1.79999995231628,0,5,0,1,1,19,2
"3369",1.2,1.90095876119305,1.49000000953674,0,5,1,1,1,19,1
"3370",-0.57,-0.75377180237638,0.200000047683716,1,5,0,1,0,18,2
"3371",-0.01,-1.450010175506,2.20000004768372,1,4,0,1,0,18,3
"3372",1.72,2.31363492918063,2.14000010490417,0,5,0,1,1,19,1
"3373",2.08,1.15267950993839,1.34999990463257,0,5,0,1,1,19,2
"3374",0.21,-0.944461608840851,0.679999947547913,0,4,1,1,1,18,1
"3375",-0.27,0.322773392263051,-1.02999997138977,1,4,1,1,1,19,1
"3376",0.69,0.447312218043665,0.620000004768372,0,4,1,1,0,18,3
"3377",0.75,-0.663294217410264,0.100000023841858,0,4,1,1,1,17,3
"3378",2.24,0.994622575144062,2.5,0,5,0,1,1,19,2
"3379",0.1,-2.94443897916644,0.399999976158142,0,3,0,1,1,19,3
"3380",-0.74,-2.19722457733622,-0.860000014305115,1,4,0,1,0,20,2
"3381",1.86,0.75377180237638,1.88000011444092,0,5,0,1,1,18,1
"3382",0.25,2.19722457733622,0.389999985694885,0,5,1,1,0,19,1
"3383",2.35,0.847297860387203,1.94000005722046,0,5,0,0,0,19,3
"3384",0.39,0.800119300112113,-0.169999957084656,0,4,0,1,1,18,1
"3385",-1.5,-1.73460105538811,-0.0299999713897705,1,3.5,0,1,0,18,3
"3386",-0.39,-1.73460105538811,0.699999928474426,1,4.5,0,1,1,19,1
"3387",0.78,-1.58562726374038,1.42000007629395,0,5,0,1,1,18,1
"3390",-0.98,-3.47609868983527,-1.10000002384186,1,4,0,1,1,19,3
"3391",0.88,0.160342650075179,0.710000038146973,0,5,0,1,1,18,1
"3393",0.89,-0.75377180237638,2.5,0,4.5,1,1,0,19,1
"3394",1.99,4.59511985013459,1.98000001907349,0,4.5,0,1,1,18,1
"3395",0.15,-1.09861228866811,0.779999971389771,0,5,0,1,1,19,3
"3396",1.78,1.90095876119305,1.8199999332428,0,5,0,1,1,19,1
"3397",1.01,-0.663294217410264,1.51999998092651,0,4,1,1,0,18,1
"3398",2.38,2.44234703536921,1.73000001907349,0,5,1,0,0,18,3
"3400",2.5,3.47609868983527,1.5,0,5,0,1,1,19,1
"3401",1.56,0.532216813747308,1.79999995231628,0,5,0,1,1,19,1
"3402",0.8,-1.26566637333128,0.799999952316284,0,4.5,0,1,1,18,2
"3403",1.59,-2.58668934409794,-0.600000023841858,0,4,1,1,1,20,2
"3404",1.53,-0.708185057924486,1.76999998092651,0,4,0,1,1,18,2
"3405",1.53,1.26566637333128,1,0,4.5,0,1,1,18,2
"3407",0.88,1.26566637333128,1.74999988079071,0,5,0,1,1,19,1
"3408",0.88,-0.944461608840851,1.3199999332428,0,5,0,1,1,18,2
"3409",1.6,0.447312218043665,0.940000057220459,0,4,0,1,1,19,3
"3410",1.4,0.800119300112113,0.660000085830688,0,5,0,1,1,19,1
"3411",1.51,0.994622575144062,1.29999995231628,0,5,1,1,1,18,1
"3412",1.66,-0.241162056816888,0.509999990463257,0,5,1,1,1,19,3
"3413",2.34,2.44234703536921,2.17000007629395,0,5,0,0,0,18,3
"3414",0.66,-0.405465108108164,2.20000004768372,0,5,0,1,0,18,2
"3415",-1.13,-2.75153531304195,-1.10000002384186,1,3,0,0,0,20,3
"3416",1.18,-0.447312218043665,0.980000019073486,0,5,0,1,1,18,1
"3418",1.42,-0.0400053346136992,0.200000047683716,0,4.5,1,1,1,19,2
"3419",0.71,2.09074109693377,1.20000004768372,0,5,1,1,1,18,1
"3420",1.06,0.0800427076735366,0.699999928474426,0,4.5,0,1,1,19,3
"3421",0.27,-0.0400053346136992,0.0499999523162842,0,4,0,1,1,19,1
"3422",1.15,3.89182029811063,1.48000001907349,0,4,0,1,1,19,1
"3423",0.32,-0.405465108108164,-0.879999995231628,0,5,1,1,1,19,1
"3424",1.56,0.405465108108164,0.100000023841858,0,4,0,1,1,18,2
"3425",1.91,-1.450010175506,0.949999928474426,0,5,1,1,1,19,2
"3427",0.96,0.0400053346136992,0.849999904632568,0,4,0,1,0,19,1
"3428",0.53,-1.58562726374038,0.699999928474426,0,4,0,1,0,19,3
"3429",-0.43,-0.363965377201412,0.519999980926514,1,5,0,0,1,19,3
"3430",0.53,-0.405465108108164,1.75,0,4,0,1,1,17,2
"3432",1.3,2.44234703536921,1.32999992370605,0,5,0,1,1,18,1
"3433",0.19,-0.847297860387204,1.17000007629395,0,5,0,1,1,20,1
"3434",-0.04,-0.575364144903562,0.299999952316284,1,5,0,0,1,20,1
"3435",-0.42,-0.200670695462151,-0.639999985694885,1,5,1,1,1,19,3
"3436",0.58,-0.944461608840851,0.900000095367432,0,4.5,0,0,0,20,1
"3437",2.44,1.81528996663825,2.53000020980835,0,5,1,1,1,18,2
"3438",0.79,-0.847297860387204,0.78000009059906,0,4,0,1,1,18,1
"3439",2.27,-0.994622575144062,1.20000004768372,0,4.5,0,1,0,19,1
"3440",0.79,0.0400053346136992,0.640000104904175,0,4,0,1,0,18,1
"3441",1.98,1.73460105538811,2.40000009536743,0,4.5,0,1,1,18,3
"3443",1.1,1.04596855518269,1.29999995231628,0,5,0,1,1,19,1
"3444",-0.12,-3.17805383034795,0.600000023841858,1,4.5,0,1,1,18,2
"3445",1.62,0.575364144903562,2.40000009536743,0,5,0,1,1,18,3
"3446",1.85,-0.241162056816888,2.20000004768372,0,5,0,1,1,19,2
"3447",2.38,1.58562726374038,1.84999990463257,0,5,0,0,0,19,1
"3448",0.24,-1.26566637333128,0.25,0,4,0,1,1,18,3
"3449",0.36,0.322773392263051,1.28999996185303,0,5,0,1,1,18,3
"3450",0.98,-1.65822807660353,0.640000104904175,0,4,1,0,0,20,1
"3451",-0.4,-0.447312218043665,0.330000042915344,1,4,0,1,1,19,1
"3452",2.01,1.73460105538811,1.81000006198883,0,5,1,1,1,18,1
"3453",0.1,0.200670695462151,0.110000014305115,0,4.5,0,1,1,18,3
"3454",1.38,1.58562726374038,1.5,0,5,0,0,0,19,1
"3455",1.4,1.38629436111989,2.20000004768372,0,4,1,1,1,18,1
"3456",-1.5,-3.17805383034795,-1.5,1,4.5,1,1,0,20,2
"3457",-0.57,-0.447312218043665,1.10000002384186,1,4,0,1,1,19,3
"3458",0.73,-0.0800427076735365,1.83000004291534,0,4,0,0,0,19,1
"3459",0.48,-2.4423470353692,0.789999961853027,0,3.5,0,1,0,18,3
"3460",0.12,-0.241162056816888,0.560000061988831,0,5,1,1,1,18,3
"3461",2.12,3.17805383034794,2.20000004768372,0,5,0,0,0,19,1
"3462",0.92,-0.619039208406224,0.799999952316284,0,5,0,1,1,19,1
"3463",0.84,1.90095876119305,1.73000001907349,0,5,0,1,1,18,1
"3464",1.23,0.75377180237638,0.340000033378601,0,5,0,1,0,19,3
"3466",1.94,1.450010175506,1.20000004768372,0,4.5,1,0,1,19,1
"3467",1.48,0.847297860387203,2.5,0,4.5,0,0,1,17,1
"3468",1.12,-2.09074109693377,1.65000009536743,0,5,0,1,0,18,1
"3469",-1.22,-1.99243016469021,-0.5,1,5,0,1,1,20,1
"3470",0.69,-1.65822807660353,0.879999995231628,0,4.5,1,1,1,20,1
"3471",2.36,2.44234703536921,1.5,0,4.5,0,0,0,19,1
"3472",0.8,0.663294217410264,1.10000002384186,0,5,0,1,1,18,3
"3473",1.18,-0.708185057924486,1.49000000953674,0,4,0,0,0,19,1
"3474",-0.28,-2.94443897916644,0.399999976158142,1,5,1,1,0,19,3
"3476",1.5,-1.04596855518269,2.5,0,5,0,1,1,19,1
"3477",1.76,0.994622575144062,2.5,0,5,1,1,1,20,1
"3478",2.44,3.89182029811063,2.3199999332428,0,5,1,1,1,19,1
"3479",1.56,1.58562726374038,1.33999991416931,0,5,0,1,1,18,1
"3480",-1.38,-0.847297860387204,0.699999928474426,1,3.5,0,1,0,18,3
"3481",1.93,0.281851152140987,1.61999988555908,0,5,0,1,1,18,1
"3482",-0.39,-1.51634748936809,0.699999928474426,1,4,0,1,1,19,1
"3483",1.84,1.04596855518269,2.40000009536743,0,4,0,0,1,17,1
"3484",1.56,0.405465108108164,0.100000023841858,0,5,1,0,1,19,1
"3485",0.43,-3.17805383034795,0.910000085830688,0,4,1,1,1,19,2
"3486",1.3,0.200670695462151,2.5,0,4,0,0,0,17,1
"3487",-0.01,-0.944461608840851,-0.360000023841858,1,4,1,1,1,20,1
"3488",2.17,3.89182029811063,1.9300000667572,0,5,1,1,0,18,1
"3489",0.03,-1.450010175506,0.849999904632568,0,3,0,0,1,18,3
"3490",0.64,-1.3249254147436,1.48000001907349,0,4,1,1,1,18,1
"3491",1.13,2.58668934409794,1.32999992370605,0,5,0,1,1,18,2
"3494",1.45,0.160342650075179,1.96000003814697,0,5,0,1,0,18,3
"3495",1.28,1.20831120592453,-0.429999947547913,0,5,1,1,0,19,1
"3496",2.1,4.59511985013459,2.3199999332428,0,5,0,1,1,19,1
"3497",0.73,-0.281851152140988,0.860000014305115,0,4.5,1,1,0,19,3
"3498",0.05,0.241162056816888,-0.139999985694885,0,4.5,1,1,1,19,1
"3499",0.85,-2.19722457733622,1.5,0,5.5,1,0,0,21,2
"3500",1.5,-1.09861228866811,1.5,0,4,1,0,0,20,2
"3501",2.24,0.532216813747308,2.5,0,4,0,1,1,19,1
"3502",0.79,0.532216813747308,2.09999990463257,0,5,0,1,0,18,1
"3504",1.35,-0.200670695462151,1.29999995231628,0,4,0,0,0,19,2
"3505",1.64,-0.800119300112113,1.5,0,5,0,1,1,19,1
"3506",1.15,0,1.54999995231628,0,5,1,1,1,19,1
"3507",2.21,2.94443897916644,2.20000004768372,0,5,0,0,1,20,1
"3508",1.24,-1.20831120592453,0.930000066757202,0,4.5,1,1,1,18,1
"3509",0.76,0.575364144903562,1.66000008583069,0,4.5,1,1,1,19,1
"3510",-0.15,1.99243016469021,1.4300000667572,1,4.5,0,1,1,18,1
"3511",1.08,-1.51634748936809,1.39000010490417,0,5,1,1,1,18,1
"3512",1.45,1.09861228866811,1.39999997615814,0,4.5,1,1,1,19,3
"3513",1.56,1.3249254147436,1.39999997615814,0,5,1,1,1,19,3
"3514",1.82,-0.532216813747308,1.10000002384186,0,4,1,1,1,18,1
"3515",0.08,-1.3249254147436,1.10000002384186,0,3,0,0,1,18,3
"3516",1.4,0,1.32999992370605,0,4.5,0,0,0,19,1
"3517",1.51,0.532216813747308,2.20000004768372,0,5,1,1,1,18,1
"3518",2.07,2.94443897916644,1.67000007629395,0,4.5,0,1,1,18,2
